,中文,English
0,的,of
1,我,I
2,你,you
3,了,(past-tense delineator)
4,是,yes
5,在,exist
6,他,he
7,我们,us
8,不,No
9,吗,(question delineator)
10,好,good
11,什么,What
12,有,have
13,就,At once
14,吧,(request delineator)
15,她,she
16,这,this
17,知道,Know
18,说,explain
19,都,All
20,去,go
21,很,very
22,啊,a
23,要,want
24,也,also
25,他们,them
26,和,and
27,那,That
28,想,think
29,人,people
30,会,meeting
31,一个,one
32,来,Come
33,把,Bundle
34,对,right
35,没有,No
36,做,Do
37,不是,not
38,让,let
39,给,Give
40,可以,Can
41,你们,you
42,呢,(question delineator)
43,但,but
44,到,arrive
45,还,return
46,现在,now
47,这个,this
48,能,able
49,怎么,how
50,就是,that is
51,跟,and
52,如果,if
53,没,without
54,它,it
55,走,Walk
56,上,up
57,得,must
58,被,quilt
59,这里,here
60,这样,so
61,个,indivual
62,看,look
63,事,thing
64,自己,self
65,着,(present-tense delineator)
66,谁,who
67,过,Pass
68,不会,Won't
69,告诉,Tell
70,为什么,Why
71,不能,cannot
72,真的,real
73,先生,gentlemen
74,只是,only
75,不要,don't want
76,这是,This is
77,已经,already
78,再,Again
79,哦,oh
80,需要,need
81,因为,because
82,谢谢,thank you
83,像,picture
84,这么,so
85,可能,possible
86,但是,but
87,那个,that
88,所以,so
89,喜欢,like
90,又,again
91,叫,Call
92,快,quick
93,我要,I want
94,觉得,feel
95,别,Don't
96,听,listen
97,找,try to find
98,里,inside
99,还有,besides
100,时候,when
101,东西,thing
102,等,wait
103,死,die
104,多,many
105,从,from
106,我会,I can
107,一起,Together
108,应该,should
109,我們,we
110,这些,These
111,请,please
112,孩子,child
113,看到,See
114,一下,one time
115,那么,So
116,为,for
117,嗎,?
118,而,and
119,您,you
120,才,talent
121,用,use
122,还是,still
123,嗯,Um
124,问题,question
125,工作,Work
126,一样,Same
127,呀,ah
128,开始,start
129,吃,eat
130,嘿,hey
131,当,when
132,真,real
133,中,middle
134,然后,Then
135,看看,have a look
136,說,say
137,地方,place
138,一定,must
139,将,Will
140,希望,hope
141,朋友,friend
142,今天,today
143,拿,take
144,一,one
145,啦,La
146,事情,matter
147,一直,Always
148,所有,all
149,找到,turn up
150,什麼,what
151,哪,where
152,当然,certainly
153,们,We
154,回来,return
155,不想,In no mood
156,更,Even
157,最,most
158,帮,help
159,没事,fine
160,只,Only
161,那些,Those ones
162,可,can
163,明白,clear
164,的话,Words
165,爸爸,dad
166,下,Down
167,太,too
168,离开,leave
169,一切,everything
170,时间,time
171,相信,believe
172,妈妈,mom
173,想要,want
174,爱,like
175,发生,occur
176,打,beat
177,点,point
178,來,Come
179,钱,money
180,大,big
181,起来,stand up
182,真是,Really
183,你好,Hello
184,抱歉,Feel sorry
185,必须,must
186,认为,think
187,一点,a little
188,非常,Very
189,那里,There
190,对不起,sorry
191,天,sky
192,也许,Maybe
193,大家,Everyone
